funding_source|project_name|project_type|record_id|sector|source_file|ward|year
|Basic capital grant|Capital Project|CAP_2025_001|Other|mwense-2025-approved-projects.pdf|All wards|2025
CDF|Construction Of Piped|CDF Project|CDF_2025_002|Water|mwense-2025-approved-projects.pdf|Not specified|2025
CDF|Construction Of Piped|CDF Project|CDF_2025_003|Water|mwense-2025-approved-projects.pdf|Not specified|2025
CDF|Construction Of Piped|CDF Project|CDF_2025_004|Water|mwense-2025-approved-projects.pdf|Not specified|2025
CDF|Construction Of Piped|CDF Project|CDF_2025_005|Water|mwense-2025-approved-projects.pdf|Not specified|2025
CDF|Construction Of Rural|CDF Project|CDF_2025_006|Health|mwense-2025-approved-projects.pdf|Not specified|2025
CDF|Construction Of Piped|CDF Project|CDF_2025_007|Water|mwense-2025-approved-projects.pdf|Not specified|2025
